Title,Price,Description,Condition,GenreNew,
LEGO books,0,"Lots of used Lego books.
There are books that have Lego Minifigs and Lego pieces. All the pieces, Minifigures included.

The LEGO idea book..........................$6
The LEGO book-Fair condition........$2
The ultimate Lego book......................$7
Chima Official guide...........................$9
Cool Castles.........................................$4
Cool Cars and Trucks........................$4
BrickMaster Ninjago.........................$9
Brickmaster pirates...........................$23",0,Children's Books,
John F. Kennedy 5 Books,15,"There are Five Books on John F Kennedy and Jacqueline Kennedy. They are John Fitzgerald Kennedy...As We Remember Him by Mrs. Rose Kennedy and others H/C. Uncommon Grace: Reminiscences and Photographs of Jacqueline Bouvier Kennedy Onassis by J C Suares H/C. One Brief Shining Moment by William Manchester H/C. The Kennedy Wit Ppbk, and Profiles in Courage Memorial Edition by John F. Kennedy Ppbk. They are in fair to very good condition. Porch Pick-Up is available.",0,Biographies & Memoirs,
Christmas Books/CD's/DVD's,15,"There are 17 CD's many in like-new condition, all playable. They include Country, Jazz, Traditional, Classical, and More. There are 7 Children's Books. One shows some wear. The remaining books are in very good to like-new condition. There are 2 DVD's. Porch Pick-Up is available. Please review the photos for the titles.",0,"Arts, Crafts & Photography",
New NYPD Book Loaded With True Stories,0,"Now on Amazon 

4 behind the scenes NYPD books make great $10.00 Christmas gifts.",0,Fiction,
VANCOUVER - A Year in Motion (Photographic Essay),10,"I'm actually on the east coast (New York to be specific) but thought there would be more interest in this photo essay in Washington, and I frequently ship books (Media Mail) out of state.

* A photographic portrait of Vancouver, British Columbia, at a pivotal point in its history -- the year of Expo 86 and the year of the city's 100th birthday.

* A big, beautiful, coffee table book, profusely illustrated throughout with color photographs and journalists' descriptions.

* Blue cloth cover, gilt lettering to front panel and spine, photographic dust jacket.

* Light wear to dust jacket; otherwise, a bright, clean copy, solidly bound and unmarked (NOT x-library, NO owner names); just some light wear to DJ and a short tear on DJ, carefully repaired on reverse.

* In this magnificent and unusual book, almost 200 photographs give you an insider's view of the special qualities of a city that some say may be the most beautiful place on earth.  Vancouver: A Year in Motion provides firsthand glimpses of a city that combines cosmopolitan energy and spectacular natural beauty, satisfying everyone, from the most urbane city dweller to the avid outdoor enthusiast.

* Fifty photographers who live and work in Vancouver spent a year photographing their city to create a vivid and vital memento for Vancouverites and those who visit Expo 86 during the centennial year.  This book was named the official book of the centennial.

* First Edition, 10 3/4"" by 13 1/2"".  208 pages.  A very heavy, oversize volume, weighing 4.7 lbs (2.1 kg).

* Produced by Tom Sutherland and Cindy Bellamy.

$10.  Pick up East 14th St.",0,Travel,
2020 cpa beckers review+final review package plus gifts,400,"$300 for the latest review+$100 for final review full software with ebooks
brand new key.18 months since the date u install
also a lot of gifts if you buy all",0,Education & Teaching,
Estate Book 1938 Standard Postage Stamps Catalogue,5,"I have an Estate Book - 1938 Standard Postage Stamps Catalogue. The price is $5.00 Cash Only. If interested please text, call, or email Bill",0,Education & Teaching,
Haynes 1973- 1979 Ford pick-ups & Bronco Repair Manual,5,Excellent condition $5.00. Located on South Hill,0,Engineering & Transportation,
Harry Potter books,12,I have three Harry Potter books for sale. Book -and the order of the Phoenix no cover 5$ half blood prince small damaged cover 8$ half blood prince perfect cover 12$,0,Children's Books,
PHOTOGRAPHING THE SOUTHWEST - VOLUME 1 (SOUTHERN UTAH),10,"Photographing the Southwest - Volume 1 (A guide to the natural landmarks of Southern Utah) by Laurent Martres.  Excellent book for finding and photographing the natural features of southern Utah - where they are, how to get there, best time to photograph.  Great book to have even if you are not a photographer.  Excellent condition.  Selling for just $10 FIRM.

Email me or call (no texts) Al at  show contact info
.  If you are reading this I still have the book.",0,"Arts, Crafts & Photography",
Rules for Writers book,10,"Rules for Writers 7th Edition By Diana Hacker with Sommers Paperback - 
by Marcy Carbajal (CON) Van Horn,Marcy Carbajal Van Horn, Diana Hacker Nancy Sommers (Author)
ISBN-13: 978-0312647360
ISBN-10: 0312647360
Used at many colleges it's a great help.",0,Education & Teaching,
The Startup Owner's Manual  UW Bothell,20,"The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company Hardcover -- March 1, 2012
by Steve Blank  (Author), Bob Dorf  (Author)

Brank new Hard cover book never used.
Text book for UW Bothell B EE 371 Business of Tech

Hardcover: 608 pages
Publisher: K & S Ranch; 1 edition (March 1, 2012)
Language: English
ISBN-10: 0984999302
ISBN-13: 978-0984999309
Product Dimensions: 1.2 x 8.2 x 10 inches
$20.00",0,Education & Teaching,
Fundamentals Of Database System 7Th Edition,20,"Fundamentals Of Database System 7Th Edition $20.00
by Elmasri Navathe (Author)
Same Contents as in US edition - ISBN - 9789332582705
Used in UW Bothell CSS 475 Data Base Systems class Winter quarter 2017 that ended March 2018",0,Education & Teaching,
CFA Program Textbooks,80,"CFA Program textbooks 2020,2019 and 2018 all very good condition",0,Education & Teaching,
Elizabeth Moon Trilogies,15,"Great fun to read.  Winters coming - time to stock up on good reads!  :)  Buy all 4 for 15 dollars.  All are super clean - and from a non-smoking house.  

The Deed of Paksenarrion - Elizabeth Moon's Trilogy in one book.  Book one - sheep farmers Daughter  two- Divided Allegiance , 3 - Oath of Gold.  This is a fabulous trilogy in the vein of Tolkien - high heroic fantasy featuring a woman warrior.  

The next 3 books in the Paladins Legacy continuation of the Paksenarrion series.  
Book 1 - Oath of Fealty
2 - Kings of the North
3 - Echoes of Betrayal",0,Fiction,
Car and Driver Magazine 1999 (12) Issues Full Year,10,"Car and Driver Magazine 1999. (12) Issues, full year. In very good condition.",0,Education & Teaching,
Car and Driver Magazine 2000 (12) Issues Full Year,10,"Car and Driver Magazine 2000. (12) Issues, full year. In very good condition.",0,Education & Teaching,
Book of Dragons,8,"Like new! For thousands of years, the legendary dragon has inspired awe and wonder in cultures the world over. Now Michael Hague, one of America's most beloved painters of fantasy, boldly captures seventeen classic dragon tales. Within these pages are the stories of heroic dragon slayers such as Perseus, St. George, and Sigurd, as well as the magical writings of J. R. R. Tolkien and C. S. Lewis. The mythical dragon will be very real indeed for all who read these enchanting tales.",0,Fiction,
"1980-86 Playgirl magazines, Women & Gays interests, Adult STR8 Porn",30,"17 Vintage 1980-1986 Playgirl Magazines
Some in excellent condition, some have ripped cover or cover unattached from being moved around in container",0,Humor & Entertainment,
Road & Track Magazine 2000 (11) Issues,10,Road and Track Magazine 2000. (11) Issues. Missing November. In very good condition.,0,Travel,
Road & Track Magazine 1998 (11) Issues,10,"Road and Track Magazine 1998. (11) Issues, missing June. In very good condition.",0,Education & Teaching,
Road & Track Magazine 1999 (12) Issues Full Year,10,Road and Track Magazine 1999 (12) Issues Full Year. In very good condition.,0,Education & Teaching,
Car and Driver Magazine 2000 (12) Issues Full Year,10,"Car and Driver Magazine 2000. (12) Issues, full year. In very good condition.",0,Education & Teaching,
Book of Dragons,8,"Like new! For thousands of years, the legendary dragon has inspired awe and wonder in cultures the world over. Now Michael Hague, one of America's most beloved painters of fantasy, boldly captures seventeen classic dragon tales. Within these pages are the stories of heroic dragon slayers such as Perseus, St. George, and Sigurd, as well as the magical writings of J. R. R. Tolkien and C. S. Lewis. The mythical dragon will be very real indeed for all who read these enchanting tales.",0,Fiction,
"1980-86 Playgirl magazines, Women & Gays interests, Adult STR8 Porn",30,"17 Vintage 1980-1986 Playgirl Magazines
Some in excellent condition, some have ripped cover or cover unattached from being moved around in container",0,Humor & Entertainment,
Road & Track Magazine 2000 (11) Issues,10,Road and Track Magazine 2000. (11) Issues. Missing November. In very good condition.,0,Travel,
Road & Track Magazine 1998 (11) Issues,10,"Road and Track Magazine 1998. (11) Issues, missing June. In very good condition.",0,Education & Teaching,
Road & Track Magazine 1999 (12) Issues Full Year,10,Road and Track Magazine 1999 (12) Issues Full Year. In very good condition.,0,Education & Teaching,
EXPORATIONS: Great Moments of Discovery from the Royal Geographical So,30,"Royal Geographical Society; with essays by Edmund Hillary, Richard Leakey, Ranulph T-W-Fiennes, Wilfred Thesiger, Christina Dodwell, John Hemming

Mint new collectible unread copy of 1st printing.  339 pages, glossy photos.",0,Travel,Travel
book - Galapagos: Islands Born of Fire - 10th Anniversary Edition,10,"Galapagos: Islands Born of Fire - 10th Anniversary Edition Hardcover – Illustrated, February 21, 2010
by Tui De Roy  (Author)

brand new

This richly illustrated book captures the ethereal, haunting quality of the Galapagos and of the birds and animals that make these islands their home. 

See Amazon listing for details: https://www.amazon.com/Galapagos-Islands-Born-Fire-Anniversary/dp/0691146373/ref=asc_df_0691146373?tag=bingshoppinga-20&linkCode=df0&hvadid=80058243945801&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=&hvtargid=pla-4583657835165294&psc=1",0,Travel,
Book -Prehistoric Life: The Definitive Visual History of Life on Earth,30,"Prehistoric Life: The Definitive Visual History of Life on Earth  
Paperback – July 2, 2012
by DK Publishing (Author)
Condition: new
With an extensive catalog at its heart, Prehistoric Life profiles hundreds of fascinating species in incredible detail. 
Amazon link: https://www.amazon.com/Prehistoric-Life-Definitive-Visual-History/dp/075669910X",0,Education & Teaching,
Book -  The Universe,10,"The Universe 
brand new, hardcover 
by Leo Marriott (Author)
255 pages picture illustrated astronomy book",0,Education & Teaching,
Medical Coding book NEW,30,"New (never used)
Comprehensive Medical Coding
A Path to Success BRAND NEW
I had to cancel my college classes, so I never used this book",0,Education & Teaching,
Online Book Business,15000,"Book Business for sale.  7,000 titles, all listed on Alibris site.  Many technical and historical books, very few modern novels, ISBN, or paperbacks.  On-line since 2009.  Turn key operation, just change password and you are in business.  An easy addition to your stock or a quick jump start for your business.  We are retiring and everything goes including shipping supplies, shelving.  This has been an on-line only book store, with every title numbered when listed, not in categories.  Every book listed in numbered boxes for easy retrieval when an order comes in.  If you every thought about selling books or want to expand your business this is an opportunity.  Call for more details. Thanks, Mike and Mary Garrison.",0,Education & Teaching,
A First Course in Differential Equations,39,A First Course in Differential Equations the Classic fifth edition by Dennis G. Zill hardcover in excellent condition with no markings.  ISBN 978-0-534-37388-7,0,Education & Teaching,
Data-Driven Modeling&Scientific Computation,50,Data-Driven Modeling & Scientific Computation by J. Nathan Kutz textbook used for University of Washington Applied Mathematics.  In excellent condition with no markings.  ISBN 978-0-19-966034-6,0,Education & Teaching,
Ichiro on Ichiro & Tales from the Seattle Mariners Dugout,5,Two hardback books with Ichiro on cover. $5 for both.,0,Children's Books,
Super Duck Comic Book No 7,32,"April 1946 Super Duck No. 7 -- an Archie magazine
Good condition. $35 OBO",0,Children's Books,
Variety of Vintage Children's Books (Collectibles),0,"Vintage Children's Books (Collectibles)

*4 Vintage Heidi Books (Photo #1)

    1.) Heidi (1924)  (Photo #1)
     - By Johanna Spyri / Illustrated by: Clara M. Burd
     - Hardcover Book
     - $20 Cash
_______________________________________________________
    2.) Heidi Grows Up (a Sequel to Heidi) (1938) (Original Dustcover) (Photo #1)
      - By Johanna Spyri / Illustrated by Jean Coquillot
      - Hardcover Book
      - $10 Cash
________________________________________________________
   3.) Heidi's Children (1939) (Original Dustcover) (Photo #1)
     - By Johanna Spyri / Illustrated by Pelagie Doane
     - Hardcover Book
     - $10 Cash 
________________________________________________________
  4.) Heidi (1985) (Original Mylar Dustcover) (Photo #1)
    - By Johanna Spyri / Illustrated by William Sharp
    - Hardcover Book
    - $10 Cash

***********************************************************************************************
* The Yearling (1940) (Jacket Cover) / Popular Edition (Photo #2)  (SOLD)
    - by Marjorie Kinnan Rawlings / Decorations by:  Edward Shenton
    - Hardcover Book
    - $25 Cash  (SOLD)

************************************************************************************************
* Robin Hood (1931) (Photo #2)
   - by Henry Gelbert / Illustrations by Frances Brundage
   - Hardcover Book
   - $12 Cash

************************************************************************************************
* Tales from Shakespeare (1930's) / Jacket Cover (Photo #2)
    - by Charles and Mary Lamb / Illustrated by Walter S. Rogers
    - Hardcover Book
    - $10 Cash

************************************************************************************************
* Little Black Sambo (1919) (Photo #3)
   - M.A. Donohue and Company
   - Color Illustrations
   - 6""x71/2""
   - $20 Cash  

************************************************************************************************
* What Farmer Brown's Boy Did (1929) (Photo #3)
   - by Thornton W. Burgess / Illustrations by Nina R. Jordan
   - 5"" x 4"" 
   - $20 Cash

************************************************************************************************
* Peter Rabbit (1932) (Photo #3)
   - by Beatrix Potter / Illustrated by Nina R. Jordan
   - Whitman Publishing Co.
   - 5"" x 6""
   - $5 Cash

************************************************************************************************
* Friends of Jimmy (1926) (1st Edition) (Photo #4)
   - Written and Illustrated by Gertrude Alice Kay
   - $10 Cash

************************************************************************************************
* The Complete Mother Goose (1928) (Photo #4)
   - by the Saalfield Publishing Co.
   - $10 Cash

************************************************************************************************ 
Andersen's Fairy Tales (1930's) (Photo #4)
   - by Hans Christian Andersen
   - $10 Cash

************************************************************************************************ 

* The Beacon Second Reader (1914) (Photo #5)
   - by James H. Fassett
   - $8 Cash

************************************************************************************************ 

* Good Times  Newson Readers - Book One (1927) (Photo #5)
   - by Catherine T. Bryce and Rose Lees Hardy / Illustrations by Maginel Wright Barney and Other Artist
   - $4 Cash

************************************************************************************************ 

* Favorite Stories Old and New  (Revised Edition and Enlarged) (1955)  (Photo #6) (SOLD)
   - Selected by Sidonie Malsner Gruenberg / Illustrated by Kurt Wiese
   - $10 Cash  (SOLD)

************************************************************************************************ 

* The Swiss Twins (1922) (Photo #6)
   - Written by and Illustrated by Lucy Fitch Perkins
   - $10 Cash

************************************************************************************************ 

* The Bobbsey Twins at the Seashore (1954) (Photo #6)
   - by Laura Lee Hope / Illustrated by Janet Laura Scott
   - $4 Cash

*************************************************************************************************
* Children of the Clouds (A Phantasy and Play for Boys and Girls of All Ages) (1929) (Photo #7)
   - by Herschel Williams / Illustrated by Kurt Wiese
   - $10 Cash
*************************************************************************************************",0,Children's Books,
Playboy Mags,50,"Playboy magazines from 1960's, '70's, and '80's. Also misc mags from '54.",0,Humor & Entertainment,
Glitter And Doom: German Portraits from the 1920s (Metropolitan Museum,65,"My copy of Glitter and Doom was purchased from Amazon - I am the original owner. The book is in new condition, with no signs of use or shelf wear; never read. Book includes works by such noteworthy artists as:

Max Beckmann
Christian Scha
Rudolph Sclichter
Otto Dix
George Grosz

...and many others. Sells for $100 new on Amazon. I'm asking $65 OR BEST OFFER. Buyer pays cash and collects from us here in downtown Seattle (at Fourth and Virginia). We live in a high rise condominium (""Escala"") with 24/7 security = neither of us have any safety or security concerns. We will meet you in our lobby in front of the concierge desk.",0,History,
"French Travel, Language, & Literature Books",35,"We're hanging up our travel wanderlust. These wonderful resources were the centerpiece of our adventures.
All one-third of original list price, which is posted, except where noted)
--Michelin Road Atlas of France ($19.95)
--Grosset's French Phrase Book & Dictionary ($1.25--price as is)
--Rick Steve's French Phrase Book & Dictionary (5th edition, $7.95)
--Harrap's Super-Mini Dictionary: French-English / English-French (pbk. $2.75--price as is)
--Cassell's French Dictionary:  French-English / English-French (Hardcover $10)
--James S. Noblitt, Nouveau Point De Vue   (University of Chicago Ist-year French textbook, Hardcover, $30)
--Simone Renaud Dietiker, En Bonne Forme: Revision de Grammaire francaise (University of Chicago 2nd-year     French textbook, pbk, $15)
--Dictionary of 501 French Verbs (pbk, $3.95--price as is)
--Gimmick 1 Francais Parle by Adrienne (pbk. $4.95--price as is)
--French in 32 Lessons by Adrienne (pbk. $5.95--price as is)
--Emile Zola, La Bete Humaine (pbk. $5.95)
--Marcel Pagnol, Topaze (pbk. $4.50)

@$49.85 total    Take the entire set of books for $35.",0,Travel,
StreetScene Magazines,10,"I am selling 31 issues of StreetScene magazine.
They are from 2010-2017.
A quality street rod magazine.
These are in good condition.
$10 for all",0,"Arts, Crafts & Photography",
33 kid’s books,30,"The best older kids books
Dork diaries 
Goddess girls
Diary of a wimpy kid
Bailey school kids 
And others",0,Children's Books,
Country Weekly Magazines,10,"I am selling 40 issues of Country Weekly magazine.
Most are from 2010-2012.
Great condition.
$10 for all.",0,Travel,
Adjustable Wooden Book Shelf,10,"Please include your phone number if you are serious about purchasing this item!
For sale:  One adjustable wooden book shelf.  It measures approx. 18"" overall X 5-3/4"" X 7-3/4"" high.  Will accommodate approx. 16"" of book thickness.  Says Made In Taiwan on sticker, and one screw has been replaced (see circled in photo.) 
See actual photos and click photos to enlarge them.

This item is being sold AS IS! There are no returns for a buyer purchasing this item.


I am selling this item for cash only, no trades. This item must be picked up in the Olympia/Lacey area. Sorry, no shipping or deliveries. This item is sold AS IS. First come with cash, first served.

I will only answer inquiries that include your valid phone number. All sales will be conducted in a safe public place.

If you see this post, it's still available. If you expect a reply, please include your telephone number so I'll know you aren't a Craig's List spammer or troll.",0,Education & Teaching,
1997 Merck Manual,10,"Please include your phone number if you are serious about purchasing this item!
For sale:  One 1997 Merck Manual of Medical Information hard-cover edition with dust jacket in great condition.  Measures approx. 9.5"" X 7"" X 2.25.""  See actual photos and click photos to enlarge them.

This item is being sold AS IS! There are no returns for a buyer purchasing this item.


I am selling this item for cash only, no trades. This item must be picked up in the Olympia/Lacey area. Sorry, no shipping or deliveries. This item is sold AS IS. First come with cash, first served.

I will only answer inquiries that include your valid phone number. All sales will be conducted in a safe public place.

If you see this post, it's still available. If you expect a reply, please include your telephone number so I'll know you aren't a Craig's List spammer or troll.",0,Education & Teaching,
17 Stephen King Books REDUCED To $55 firm,55,"Big lot of Stephen King books . Many are first editions . Yes some are doubles . It alone was $60 some places . $55 firm for all or trade for Xbox one PS4 ps vita or 3DS game system . The eery light on the one pic is my phones flash , they aren't green .",0,Fiction,
1904 and 1907 magazines $20 each or $30 both,20,1904 and 1907 magazines $20 each or $30 both . Condition is good for the age . The bay view magazine,0,Education & Teaching,
Nautical Alamancs 1887-1933,25,24 books US Naval Observatory hard bound fair/good condition.  1887-1933  - some of the fronts have slight water or color distortion.  Some are marked 1st and 2nd editions.   Some are stamped inside with university stamps.  Pick up only in NE Tacoma.,0,Calendars,
8 zombie books including a yearbook,40,"8 zombie books good condition. The year book one was near $40 by itself , $40 for all . I'd consider trades .",0,Children's Books,
Autographed Steve Doocey book,25,"Good condition autographed Steve doocey mr & mrs happy book , $25 .One of the most popular morning news anchors for many years . A cool gift for anyone that adores factual news . I would consider trades",0,Biographies & Memoirs,
Volvo 700 & 900 series Factory Service Manuals,80,"Volvo's 1987 thru 1990 years
-Automatic Transmission Factory Service Manual, TP31635/1, excellent
-Brakes including ABS, TP30838/2, excellent
- Haynes Manual, excellent
- 1988 Owners Manual

** Sold as a package only**
*If advertised there available*

740, 940",0,Engineering & Transportation,
Self Development books (and others) for you!,6,"I love these books but don't need to store them

Think and Grow Rich $5
Everything is FigureOutable (Hard Cover) $10
Eat that Frog $5
Twilight $5
Failing Forward $5
Smart Couples Finish Rich $5
YOU are a BADASS (Hard cover) $10
Wishcraft - How to get what you Really Want $4
Home-Based Business for Dummies $5
Catholicism for Dummies $5



More titles to come!

show contact info",0,Education & Teaching,
Twilight Book One,5,"Bought this and never cracked it open.

Yours for $5

425.318.56EightZero",0,Fiction,
Wanted: Childrens kids books for reading - Free or cheap Please,1,"I will gladly come pick up your gently used kid books if you no longer have use for them.

These will be a gift so prefer decent-nice condition ( sorry to be picky ). Sadly I cannot afford to buy brand new books for my grand daughter. She is just 10 months old so any age range book(s) are fine. She will grow into using them - the board style books are what she is looking at / reading now ( thick pages ).

Prefer as close to Marysville as possible, but I will gladly pick any up in all of Snoho county.

( pic is just for reference ... any child related book is fine )

Thank you so much
US Veteran",0,Children's Books,
Vintage 3-D Pop Up Art Story First Christmas Nativity Jesus Magi Book,25,"Vintage Hardcover A Carousel Book 3-Dimensional Pop-Up The Story of First Christmas Nativity Joseph Mary Baby Jesus Christ Child Magi Illustrated by Ruth Sanderson

A beautiful three-dimensional diorama format that depicts the classic story of Christmas, from the birth in a manger to the journey of the Magi, is ingeniously recreated with a beautiful three-dimensional perspective when the pages are tied together festively with the bright red ribbon. All the beauty and wonder of the Nativity are elegantly captured by artist Ruth Sanderson in this carousel book. This edition is the perfect decoration for any home during the holiday season. Both children and adults will delight in the five magical three-dimensional scenes depicting the stories that all lead to the Nativity.

Three-dimensional Pop-Up Book that stands on its own and can be tied open in a star shape to reveal all of the 3D windows. Closes with an attached burgundy silk satin ribbon. 

1994 First Edition First Printing.

EXCELLENT Like New Condition. No rips or repairs - Pristine condition inside. Silk tie ribbon is strong. 3D Pop Ups are all complete, delicate, precious!

Give this vintage book as a gift or keep as a family heirloom keepsake that you return to year after year during the holiday season. A beautiful tradition and Christmas collectible.

I also have a 3D version of The Night Before Christmas. Check out 'more ads by this user' button.

Categories: Christmas Collectible Storybooks Baby Jesus' Birth Christ Child Mary Joseph Mother Father Son Magi Three Wise Men North Star Children's Books Vintage 1980s 80s 80's 1990s 90s 90's First Christmas True Meaning of Christmas Spirit of the Season Story Cut Out Art Picture Frame Scenes Diorama Miniature Magical Mystery 3D Art Picture Book Gift Present Holiday Holidays Family Friends Hostess Tree Stocking Stuffer

About the Artist : Ruth Sanderson
""Born in the small town of Monson, Massachusetts, Ruth Sanderson (b.1951) has been a professional illustrator since 1975, with over eighty published children’s books, in addition to illustrated book covers, fantasy art, collector’s plates, animation concept art, and product design.""",0,Religion & Spirituality,
First Native American cuisine book,15,"*Iconic: ""The Art of American Indian Cooking"" is the first book ever written about Native American cooking.
By Yeffe Kimball, an Oklahoma Osage. Forward by Will Rogers, Jr.
1965 Hardback. This is also the first printing and the book is 56 years old. Bought new by me.
Has map of all Native American tribes on inside of cover. 8 and 1/2"" by 5 and 1/2"". It is by areas of the U.S. with historic references.
Book is perfect, book jacket has wear. Smoke-free home.
  In person, please wear a mask, or
*CAN BE SHIPPED to any of 50 states in US by media mail for $5 shipping fee",0,"Cookbooks, Food & Wine",
will smith book,20,new,0,Biographies & Memoirs,
complex sneaker of year book coffee table,15,new,0,"Arts, Crafts & Photography",
James Patterson harcover please and thank you kids books,5,Like new. Porch pick up Lacey near cabelas.,0,Children's Books,
Study Guides for Algebra and GRE/GMAT Math,25,"Algebra (Paperback $18.99, Kindle $9.99)
https://www.amazon.com/gp/product/1539969460
GRE/GMAT Math: A Systematic Approach (Paperback $25, Kindle $9.99)
https://www.amazon.com/gp/product/1453633987
I'm confident these books I've written would prove useful to your study of math. They cover the subject matter in an easy-to-understand CONVERSATIONAL STYLE, and have plenty of solved examples as well as practice problems WITH FULL SOLUTIONS. For detailed description of each book, visit the links above.",0,Education & Teaching,
Various Books for Kids,35,Various books $35 for all or $2 each,0,Children's Books,
Junie B Jones and Thea Stilton Books,20,"Junie B Jones Books -10 books

Thea Stilton - The Secret of the Snow",0,Children's Books,
1960s Girl Scout Books,10,"1963 Girl Scout Handbooks
$ 10 for all 3 books
Brownie, Junior & Cadette Scouts
Redmond, Washington 
show contact info",0,Children's Books,
1-4 Predator vs Judge Dredd vs Aliens IDW Dark Horse Comics,30,This is the complete set. They are not mint and they are not shabby. I read them and someone before me read them and now they are for sale. Price is firm.,0,Children's Books,
$3 For ALL 4 Stephen King Paperback Books,3,"$3.00 takes all 4 of these Stephen King paperback books:
The Girl Who Loved Tom Gordon (excellent condition)
Misery (excellent condition)
Night Shift (good condition)
Gerald's Game (good condition)
Please return email me, or call my home phone at  show contact info
 and leave a message and I will get right back to you.
Drop by my home to pick them up.   Thank you!  - James",0,Fiction,
$3 For All 7 Dean Koontz Paperback Books,3,"$3.00 takes all 7 Dean Koontz paperback books:
House Of Thunder - Dean Koontz writing as Leigh Nichols (budget collectible)
Shadowfires - Dean Koontz writing as Leigh Nichols (budget collectible)
The Eyes Of Darkness - Dean Koontz writing as Leigh Nichols (budget collectible)
The Mask - Dean Koontz writing as Owen West (budget collectible)
Shattered
Winter Moon
77 Shadow Street
All of these books are in good condition.
Please return email me, or call my home phone at  show contact info
 and leave a message and I will get right back to you.
Drop by my home to pick them up, or we can meet at the nearby Glendale school parking lot if you prefer.  Thank you!  - James",0,Fiction,
Wine Trails and Oregon Wine Books,10,"NEW Books
Wine Trails in WA State
Oregon Wine Country
For All You Wine Lovers !",0,"Cookbooks, Food & Wine",
SIGNED For Future Generations - A History Of The Museum Of Flight,5,"This is a beautiful SIGNED Hardback coffee table book in mint condition by Howard Lovering.
The original retail price was $50.00  .  My price is $5.00  .
Drop by my home and pick it up.
Please return email me, or call my home phone at  show contact info
 and leave a message and I will get right back to you.
Thank you! - James",0,History,
Out of the Mouths of Beatles,40,"1964 Dell book , Out of the mouths of BEATLES .",0,Biographies & Memoirs,
Everything about ZEN,10,"Everything you Want to ZEN.
Great Reading and Interesting Facts.",0,Religion & Spirituality,
Doctor Who Comics Comic Books,25,"Great condition. 
See picture.",0,Children's Books,
1959 Auto Repair Manual,50,1959 Motor's Auto Repair Manual (hardcover),0,Engineering & Transportation,
Princess Diana Magazines,45,"7 magazines and tabliods. All in excellent,  premo condition and never even looked through. I bought these in England UK Dates: 9/16/97 and 9/23/97. $45. Please see other items.",0,"Arts, Crafts & Photography",
Prayers That Avail Much for the Workplace,5,"Prayers That Avail Much for the Workplace: The Business Handbook of Scriptural Prayer (Prayers That Avail Much (Paperback) Take God to Work With You! Finally a tool to help you walk in God's grace throughout the day! Designed specifically for both employees and employers, ""Prayers That Avail Much for the Workplace"" will aid you in tackling life's challenges God's way. In excellent condition, no rips, marks or stains.




Book on Pray",0,Religion & Spirituality,
INTO THE FIRE by Kim Vandel,5,"Book One  ""INTO THE FIRE""  One of the best Young Adult novels.  In like new condition, no rips, markings or turned down pages.",0,Fiction,
Old Books: YOU ONLY LIVE TWICE and LIVE AND LET DIE by Ian Fleming,10,"Two paper back James Bond books by Ian Flemming:

YOU ONLY LIVE TWICE by Ian Fleming vintage Signet paperback JAMES BOND 007.  First Printing, July 1965. Condition is ""Good"".  

LIVE AND LET DIE A James Bond Thriller by Ian Fleming Copyright 1954 Nineteenth Printing.  Condition is fair - corner piece missing on front cover and tear on back cover.

Two books for $10.",0,Fiction,
3 AAA Tour Guide Books 6 States,5,"3 AAA Tour Guide Books - all in excellent, like new condition. $5 each (Lists for $14.95)
Tour Guide Book - Oregon 
Tour Guide Book - Idaho, Montana and Wyoming
Tour Guide Book - Colorado and Utah
Three books covering 6 Western States.  Wonderful resource, full of helpful and interesting information about each state:  Maps, Attractions, Hotels, Restaurants, Recreation Areas Chart, Alphabetical City Listings, etc.",0,Travel,
Car Magazines,10,"I am selling a bunch of car magazines.
AutaBuy 19 issues 2016-2020.
Wheeler Dealer 6 issues.
Street Rod Roundup 3 issues.
Classic Car Roundup 9 issues.
Auto Roundup 9 issues.
Classic Ford Roundup 1 issue.
Chevy Trade Roundup 1 issue.
$10 for all.",0,Engineering & Transportation,Engineering & Transportation
The Gift of yoga - book & DVD,10,The Gift of Yoga by Gena Kenny,0,Education & Teaching,
"Trains, Model RR, Road & Track, History of the English Speaking People",0,"Interested in your trades for these large stacks of magazines:

1) Trains, Model Railroader, etc.  Some well-read.  Trade for train memorabilia?
2) R&T, Car & Driver, Motor Trend, etc.  Some from 90s onward
3) Purnell's History of the English Speaking Peoples magazine from 1970s: A highly regarded publication, lavishly illustrated, with Sir Winston Churchill as contributor.  Distributed in Canada and UK only?  Large stack (dozens) covering medieval times through American wars.
4) Vintage Popular Science and Popular Mechanics from 1940s.  One of each, as pictured.  Cover detached.

Trades considered for geeky items, board games, miniatures, model kits, etc. See my Want to Trade list here https://seattle.craigslist.org/search/sss?userid=55504984",0,History,
